#,Date,Transact. No,Buyer,Seller,Qty,Rate,Amount
277,2021/02/08,2021020803029309,38,57,46,163.0,7498.0
279,2021/02/08,2021020803028609,45,34,10,162.0,1620.0
281,2021/02/08,2021020803025876,39,21,20,162.0,3240.0
283,2021/02/08,2021020803024402,38,48,200,162.0,32400.0
285,2021/02/08,2021020803023367,34,48,20,162.0,3240.0
287,2021/02/08,2021020803018883,28,41,300,164.0,49200.0
289,2021/02/08,2021020803017055,58,34,30,164.0,4920.0
291,2021/02/08,2021020803010158,42,13,50,162.0,8100.0
293,2021/02/08,2021020803008284,40,58,20,165.0,3300.0
295,2021/02/08,2021020803006216,39,13,18,165.0,2970.0
297,2021/02/08,2021020803003000,44,35,50,168.0,8400.0
299,2021/02/07,2021020703032638,33,50,100,165.0,16500.0
301,2021/02/09,2021020903014595,17,59,23,163.0,3749.0
303,2021/02/09,2021020903011549,3,25,40,164.0,6560.0
305,2021/02/09,2021020903008922,40,35,300,162.0,48600.0
307,2021/02/09,2021020903007896,38,7,19,164.0,3116.0
309,2021/02/09,2021020903005008,28,55,90,163.0,14670.0
311,2021/02/09,2021020903002900,28,58,20,165.0,3300.0
313,2021/02/09,2021020903000978,58,22,20,165.0,3300.0
315,2021/02/08,2021020803036845,35,41,52,161.0,8372.0
317,2021/02/08,2021020803036078,50,22,100,162.0,16200.0
319,2021/02/08,2021020803035033,45,33,428,161.0,68908.0
321,2021/02/08,2021020803032862,57,41,10,163.0,1630.0
323,2021/02/08,2021020803032024,38,38,20,164.0,3280.0
325,2021/02/08,2021020803029478,57,41,14,164.0,2296.0
327,2021/02/08,2021020803029100,57,21,20,162.0,3240.0
329,2021/02/08,2021020803028173,55,34,400,162.0,64800.0
331,2021/02/08,2021020803025875,39,14,200,162.0,32400.0
333,2021/02/08,2021020803024130,38,1,224,162.0,36288.0
335,2021/02/08,2021020803023366,45,48,50,162.0,8100.0
337,2021/02/08,2021020803018882,28,34,420,164.0,68880.0
339,2021/02/08,2021020803016527,13,17,15,161.0,2415.0
341,2021/02/08,2021020803010157,39,13,100,162.0,16200.0
343,2021/02/08,2021020803007642,4,59,500,166.0,83000.0
345,2021/02/08,2021020803005574,58,13,30,165.0,4950.0
347,2021/02/07,2021020703033033,50,17,10,165.0,1650.0
349,2021/02/07,2021020703032500,33,41,50,165.0,8250.0
351,2021/02/09,2021020903015680,50,17,40,163.0,6520.0
353,2021/02/09,2021020903014290,41,59,10,163.0,1630.0
355,2021/02/09,2021020903009024,48,35,20,161.0,3220.0
357,2021/02/09,2021020903008920,38,35,100,162.0,16200.0
359,2021/02/09,2021020903005799,38,7,100,163.0,16300.0
361,2021/02/09,2021020903003656,42,19,50,165.0,8250.0
363,2021/02/09,2021020903001733,41,22,40,168.0,6720.0
365,2021/02/08,2021020803036856,1,34,70,162.0,11340.0
367,2021/02/08,2021020803036843,49,41,20,161.0,3220.0
369,2021/02/08,2021020803035035,45,33,472,161.0,75992.0
371,2021/02/08,2021020803034589,50,33,70,162.0,11340.0
373,2021/02/08,2021020803032401,38,32,50,164.0,8200.0
375,2021/02/08,2021020803030230,7,41,46,164.0,7544.0
377,2021/02/08,2021020803029310,38,57,54,163.0,8802.0
379,2021/02/08,2021020803029098,57,34,90,162.0,14580.0
381,2021/02/08,2021020803027201,45,51,400,161.0,64400.0
383,2021/02/08,2021020803025687,20,48,85,161.0,13685.0
385,2021/02/08,2021020803023842,13,48,85,161.0,13685.0
387,2021/02/08,2021020803019099,14,41,20,164.0,3280.0
389,2021/02/08,2021020803018880,28,48,200,163.0,32600.0
391,2021/02/08,2021020803016227,21,14,10,162.0,1620.0
393,2021/02/08,2021020803008544,40,25,1980,165.0,326700.0
395,2021/02/08,2021020803006902,20,17,50,166.0,8300.0
397,2021/02/08,2021020803005343,39,17,50,166.0,8300.0
399,2021/02/07,2021020703032639,33,7,100,165.0,16500.0
301,2021/02/07,2021020703031225,3,58,250,164.0,41000.0
303,2021/02/07,2021020703031155,3,45,900,164.0,147600.0
305,2021/02/07,2021020703030484,49,33,1000,163.0,163000.0
307,2021/02/07,2021020703030480,49,57,298,163.0,48574.0
309,2021/02/07,2021020703030476,49,37,2500,162.0,405000.0
311,2021/02/07,2021020703030472,49,5,1000,162.0,162000.0
313,2021/02/07,2021020703030225,46,50,160,160.0,25600.0
315,2021/02/07,2021020703028847,46,58,45,159.0,7155.0
317,2021/02/07,2021020703025880,38,33,30,161.0,4830.0
319,2021/02/07,2021020703024741,41,45,140,161.0,22540.0
321,2021/02/07,2021020703024520,51,55,360,161.0,57960.0
323,2021/02/07,2021020703024245,43,25,657,160.0,105120.0
325,2021/02/07,2021020703022951,43,26,10,160.0,1600.0
327,2021/02/07,2021020703022178,43,42,10,160.0,1600.0
329,2021/02/07,2021020703021547,19,58,32,160.0,5120.0
331,2021/02/07,2021020703020475,49,58,804,159.0,127836.0
333,2021/02/07,2021020703020240,42,58,100,160.0,16000.0
335,2021/02/07,2021020703020185,51,35,990,160.0,158400.0
337,2021/02/07,2021020703019073,51,34,100,160.0,16000.0
339,2021/02/07,2021020703018303,22,58,100,160.0,16000.0
341,2021/02/07,2021020703018065,48,17,25,160.0,4000.0
343,2021/02/07,2021020703013531,48,45,60,161.0,9660.0
345,2021/02/07,2021020703012523,48,16,100,160.0,16000.0
347,2021/02/07,2021020703009518,21,34,100,162.0,16200.0
349,2021/02/07,2021020703003492,37,41,200,161.0,32200.0
351,2021/02/07,2021020703031407,3,45,10,165.0,1650.0
353,2021/02/07,2021020703031224,3,38,200,164.0,32800.0
355,2021/02/07,2021020703031154,3,45,100,164.0,16400.0
357,2021/02/07,2021020703030483,49,42,100,163.0,16300.0
359,2021/02/07,2021020703030479,49,53,2290,163.0,373270.0
361,2021/02/07,2021020703030475,49,6,50,162.0,8100.0
363,2021/02/07,2021020703030471,49,38,80,162.0,12960.0
365,2021/02/07,2021020703029612,46,41,125,160.0,20000.0
367,2021/02/07,2021020703027409,46,38,125,159.0,19875.0
369,2021/02/07,2021020703025815,41,33,177,161.0,28497.0
371,2021/02/07,2021020703024525,51,33,17,161.0,2737.0
373,2021/02/07,2021020703024519,51,13,30,160.0,4800.0
375,2021/02/07,2021020703024142,43,25,1000,160.0,160000.0
377,2021/02/07,2021020703022524,43,52,100,160.0,16000.0
379,2021/02/07,2021020703022177,43,25,1000,160.0,160000.0
381,2021/02/07,2021020703020991,46,8,1154,159.0,183486.0
383,2021/02/07,2021020703020474,45,58,400,159.0,63600.0
385,2021/02/07,2021020703020239,41,58,1000,160.0,160000.0
387,2021/02/07,2021020703020166,51,41,200,160.0,32000.0
389,2021/02/07,2021020703018620,51,40,62,160.0,9920.0
391,2021/02/07,2021020703018169,22,8,12,160.0,1920.0
393,2021/02/07,2021020703016473,34,45,10,161.0,1610.0
395,2021/02/07,2021020703013530,48,58,40,161.0,6440.0
397,2021/02/07,2021020703012238,57,58,100,161.0,16100.0
399,2021/02/07,2021020703009472,38,21,100,161.0,16100.0
401,2021/02/07,2021020703031405,3,58,85,164.0,13940.0
403,2021/02/07,2021020703031222,3,45,100,164.0,16400.0
405,2021/02/07,2021020703030485,49,47,100,163.0,16300.0
407,2021/02/07,2021020703030481,49,42,1000,163.0,163000.0
409,2021/02/07,2021020703030477,49,52,600,162.0,97200.0
411,2021/02/07,2021020703030473,49,33,500,162.0,81000.0
413,2021/02/07,2021020703030469,49,33,293,161.0,47173.0
415,2021/02/07,2021020703028901,42,59,300,160.0,48000.0
417,2021/02/07,2021020703026567,25,57,1000,160.0,160000.0
419,2021/02/07,2021020703024742,41,33,483,161.0,77763.0
421,2021/02/07,2021020703024521,51,57,200,161.0,32200.0
423,2021/02/07,2021020703024246,32,25,100,160.0,16000.0
425,2021/02/07,2021020703023480,58,45,60,161.0,9660.0
427,2021/02/07,2021020703022179,43,26,165,160.0,26400.0
429,2021/02/07,2021020703021720,47,58,100,160.0,16000.0
431,2021/02/07,2021020703020542,49,34,100,159.0,15900.0
433,2021/02/07,2021020703020472,48,58,500,159.0,79500.0
435,2021/02/07,2021020703020237,51,58,519,160.0,83040.0
437,2021/02/07,2021020703019407,51,32,112,160.0,17920.0
439,2021/02/07,2021020703018618,22,40,38,160.0,6080.0
441,2021/02/07,2021020703018167,48,8,138,160.0,22080.0
443,2021/02/07,2021020703013563,54,45,20,161.0,3220.0
445,2021/02/07,2021020703013345,48,28,37,160.0,5920.0
447,2021/02/07,2021020703009519,21,58,100,162.0,16200.0
449,2021/02/07,2021020703004153,45,51,100,161.0,16100.0
451,2021/02/07,2021020703031406,3,3,217,164.0,35588.0
453,2021/02/07,2021020703031223,3,7,450,164.0,73800.0
455,2021/02/07,2021020703030847,49,16,40,163.0,6520.0
457,2021/02/07,2021020703030482,49,42,100,163.0,16300.0
459,2021/02/07,2021020703030478,49,57,100,163.0,16300.0
461,2021/02/07,2021020703030474,49,25,2000,162.0,324000.0
463,2021/02/07,2021020703030470,49,25,1500,161.0,241500.0
465,2021/02/07,2021020703029473,46,11,100,160.0,16000.0
467,2021/02/07,2021020703026839,4,59,200,160.0,32000.0
469,2021/02/07,2021020703025586,41,59,200,161.0,32200.0
471,2021/02/07,2021020703024522,51,35,150,161.0,24150.0
473,2021/02/07,2021020703024518,51,25,243,160.0,38880.0
475,2021/02/07,2021020703023481,58,55,40,161.0,6440.0
477,2021/02/07,2021020703022214,43,45,1000,160.0,160000.0
479,2021/02/07,2021020703022176,43,58,1058,160.0,169280.0
481,2021/02/07,2021020703020990,49,8,96,159.0,15264.0
